date,hits,words,shows,shows_with_hits,density_per_1000
2025-08-13,3,95975,20,2,0.031258
2025-08-14,3,95227,20,2,0.031504
2025-08-15,0,100229,20,0,0.000000
2025-08-16,0,97959,23,0,0.000000
2025-08-17,0,96652,24,0,0.000000
2025-08-18,0,103098,20,0,0.000000
2025-08-19,1,94305,19,1,0.010604
2025-08-20,2,112822,20,2,0.017727
2025-08-21,2,106804,20,2,0.018726
2025-08-22,0,80137,18,0,0.000000
2025-08-23,0,93259,21,0,0.000000
2025-08-24,0,92639,23,0,0.000000
2025-08-25,0,98396,20,0,0.000000
2025-08-26,7,96777,19,3,0.072331
2025-08-27,3,90493,20,2,0.033152
2025-08-28,0,94735,20,0,0.000000
2025-08-29,0,94336,19,0,0.000000
2025-08-30,0,98927,23,0,0.000000
2025-08-31,11,101871,24,2,0.107980
2025-09-01,0,99669,20,0,0.000000
2025-09-02,0,92604,19,0,0.000000
2025-09-03,0,73483,20,0,0.000000
2025-09-04,0,94008,20,0,0.000000
2025-09-05,0,82414,20,0,0.000000
2025-09-06,0,93783,24,0,0.000000
2025-09-07,0,88978,24,0,0.000000
2025-09-08,0,97378,20,0,0.000000
2025-09-09,0,94899,19,0,0.000000
2025-09-10,0,91514,20,0,0.000000
2025-09-11,0,96672,20,0,0.000000
2025-09-12,1,84634,20,1,0.011816
2025-09-13,0,89495,24,0,0.000000
2025-09-14,0,88423,24,0,0.000000
2025-09-15,0,93838,20,0,0.000000
2025-09-16,0,87204,19,0,0.000000
2025-09-17,0,94444,20,0,0.000000
2025-09-18,0,86341,20,0,0.000000
2025-09-19,0,89154,20,0,0.000000
2025-09-20,0,92350,24,0,0.000000
2025-09-21,0,87954,24,0,0.000000
2025-09-22,0,93363,20,0,0.000000
2025-09-23,0,79560,19,0,0.000000
2025-09-24,0,85039,20,0,0.000000
2025-09-25,0,90220,20,0,0.000000
2025-09-26,0,97465,20,0,0.000000
2025-09-27,1,94845,24,1,0.010544
2025-09-28,0,89138,24,0,0.000000
2025-09-29,1,99332,20,1,0.010067
2025-09-30,0,90457,19,0,0.000000
2025-10-01,1,87849,20,1,0.011383
2025-10-02,0,79761,20,0,0.000000
2025-10-03,9,86144,20,3,0.104476
2025-10-04,2,91453,24,2,0.021869
2025-10-05,0,93453,24,0,0.000000
2025-10-06,2,103709,20,1,0.019285
2025-10-07,0,87383,19,0,0.000000
2025-10-08,1,89782,20,1,0.011138
2025-10-09,0,102401,20,0,0.000000
2025-10-10,0,98466,20,0,0.000000
2025-10-11,0,94759,24,0,0.000000
2025-10-12,0,91090,24,0,0.000000
2025-10-13,0,98226,20,0,0.000000
2025-10-14,0,93827,19,0,0.000000
2025-10-15,0,93720,20,0,0.000000
2025-10-16,0,85956,20,0,0.000000
2025-10-17,0,85064,20,0,0.000000
2025-10-18,0,103802,21,0,0.000000
2025-10-19,0,90587,23,0,0.000000
2025-10-20,1,91938,19,1,0.010877
2025-10-21,0,98224,19,0,0.000000
